9.5,0.5,2,0.2,-0.499999999999999,-0.724137931034483
8.5,0.3,0.5,1,-0.25,-0.655172413793103
8,0.3,0.5,0.2,-0.25,-0.448275862068966
8,1.1,1.5,0.6,0.500000000000001,0.241379310344827
8.5,0.5,1,1,0,-0.517241379310345
9.5,1.1,2,1.2,0,-0.241379310344828
8,0.7,2.5,1.2,0.750000000000001,0.103448275862069
8,0.5,1.5,0.2,0,-0.241379310344828
8,0.5,0.5,0.8,0,-0.379310344827586
9.5,0.5,1,1,-0.499999999999999,-0.862068965517242
8.5,1.3,1,1.2,0.500000000000001,0.172413793103448
8.5,0.7,1,0.2,-0.25,-0.310344827586207
8.5,0.9,2.5,0.4,0.25,0.172413793103448
8.5,0.3,2,1.2,0.25,-0.586206896551724
8.5,1.3,2.5,1.2,1,0.379310344827586
9.5,0.7,2,1,-0.25,-0.586206896551724
9.5,1.3,1.5,0.4,-0.25,-0.172413793103449
9,1.3,2,0.8,0.500000000000001,0.172413793103448
8,1.1,1.5,1.2,0.750000000000001,0.310344827586207
9,0.9,1,0.8,0,-0.379310344827586
8,0.3,2.5,0.6,0,-0.310344827586207
9,0.3,1,1,-0.499999999999999,-0.793103448275862
8.5,0.5,0.5,1,0,-0.517241379310345
8.5,0.3,1.5,0.2,-0.499999999999999,-0.655172413793103
8.5,1.1,0.5,0.8,0.25,-0.0344827586206895
9.5,0.9,1.5,0.2,-0.499999999999999,-0.448275862068966
8,0.9,2,1.2,0.750000000000001,0.103448275862069
8,1.3,1.5,0.2,0.500000000000001,0.448275862068965
9,0.3,0.5,0.6,-0.499999999999999,-0.793103448275862
8.5,0.5,1,0.4,-0.25,-0.448275862068966
8,0.3,0.5,1.2,0,-0.517241379310345
8.5,1.3,0.5,0.4,0.25,0.241379310344827
8.5,1.1,2.5,1,0.750000000000001,0.241379310344827
8,1.3,1.5,0.6,0.500000000000001,0.448275862068965
8.5,0.7,1,1.2,0.25,-0.310344827586207
9.5,0.9,1.5,1.2,-0.25,-0.448275862068966
9,0.5,0.5,0.8,-0.499999999999999,-0.655172413793103
9,1.3,1.5,0.4,0,0.0344827586206895
8,0.9,2.5,0.6,0.500000000000001,0.517241379310345
8.5,1.3,2.5,0.8,0.750000000000001,0.517241379310345
9.5,0.5,0.5,0.2,-0.75,-0.724137931034483
8,0.5,1.5,1.2,0.500000000000001,-0.310344827586207
8,1.3,2.5,0.6,0.750000000000001,0.793103448275862
9,0.7,1.5,0.6,-0.25,-0.448275862068966
8.5,1.3,1.5,1,0.500000000000001,0.310344827586207
9,1.1,2.5,0.8,0.500000000000001,0.103448275862069
9.5,0.9,2,1.2,0,-0.448275862068966
8.5,1.3,2.5,0.2,0.25,0.517241379310345
8,0.7,0.5,1.2,0.25,-0.241379310344828
8.5,0.9,1.5,0.6,0.25,-0.103448275862069
9.5,1.3,1.5,0.2,-0.25,-0.172413793103449
8,1.1,1.5,0.8,0.500000000000001,0.241379310344827
9.5,0.3,1,0.2,-0.75,-1
9,1.1,2.5,0.4,0.25,0.103448275862069
9.5,1.3,2.5,1.2,0.500000000000001,0.0344827586206895
9,0.7,0.5,1,-0.25,-0.448275862068966
9,0.9,1,1,0,-0.379310344827586
8,0.9,2,0.2,0.25,0.310344827586207
8,1.1,2,0.6,0.750000000000001,0.448275862068965
9.5,1.1,0.5,0.6,-0.499999999999999,-0.379310344827586
8,0.7,1,1.2,0.500000000000001,-0.241379310344828
9,1.1,1,0.4,0,-0.172413793103449
9,0.7,1,1.2,0,-0.517241379310345
8,0.9,2,0.6,0.500000000000001,0.241379310344827
8,0.7,0.5,0.2,0,0.103448275862069
8,0.3,1.5,0.2,-0.25,-0.448275862068966
8.5,0.5,2,0.2,-0.25,-0.379310344827586
8.5,1.1,1,0.2,0,0.241379310344827
9,0.3,2,0.8,-0.25,-0.724137931034483
9.5,1.3,0.5,1.2,-0.25,-0.241379310344828
9,0.7,2.5,0.6,0,-0.241379310344828
9,0.3,2.5,0.8,-0.25,-0.724137931034483
8.5,1.3,2,0.2,0.25,0.379310344827586
8.5,0.3,2.5,1,0.25,-0.517241379310345
9,0.5,2,0.4,-0.25,-0.517241379310345
9,0.3,2.5,0.2,-0.499999999999999,-0.655172413793103
9.5,1.1,2.5,1,0,-0.172413793103449
